key	value
GAME_LOADING	Cargando...
EXP_COUNTER_MAX	MAX
COMBAT_ELEMENT_NORMAL_NAME	Normal
MAIN_MENU_BUTTON_SINGLEPLAY	Un jugador
MAIN_MENU_BUTTON_SINGLEPLAY_TOOLTIP	Empezar una partida en modo un jugador
MAIN_MENU_BUTTON_MULTIPLAY	Multijugador
MAIN_MENU_BUTTON_MULTIPLAY_TOOLTIP	Empezar una partida en linea
MAIN_MENU_BUTTON_MULTIPLAY_DISABLED_TOOLTIP	El modo multijugador esta desactivado en la demo
MAIN_MENU_BUTTON_SETTINGS	Ajustes
MAIN_MENU_BUTTON_SETTINGS_TOOLTIP	Configurar Ajustes del juego
MAIN_MENU_BUTTON_QUIT	Salir
MAIN_MENU_BUTTON_QUIT_TOOLTIP	Finalizar aplicacion.
CHARACTER_SELECT_HEADER	Selec Personaje
CHARACTER_SELECT_HEADER_GAME_MODE_SINGLEPLAYER	Un jugador
CHARACTER_SELECT_HEADER_GAME_MODE_HOST_MULTIPLAYER_PUBLIC	Alojar Partida (Publica)
CHARACTER_SELECT_HEADER_GAME_MODE_HOST_MULTIPLAYER_FRIENDS	Alojar Partida (Con Amigos)
CHARACTER_SELECT_HEADER_GAME_MODE_HOST_MULTIPLAYER_PRIVATE	Alojar Partida (Privada)
CHARACTER_SELECT_HEADER_GAME_MODE_JOIN_MULTIPLAYER	Unirse A la Partida
CHARACTER_SELECT_HEADER_GAME_MODE_LOBBY_QUERY	Lobby Query
CHARACTER_SELECT_BUTTON_CREATE_CHARACTER	Crear Personaje
CHARACTER_SELECT_BUTTON_DELETE_CHARACTER	Eliminar Personaje
CHARACTER_SELECT_BUTTON_SELECT_CHARACTER	Selec Personaje
CHARACTER_SELECT_BUTTON_RETURN	Regresar
CHARACTER_SELECT_DATA_ENTRY_EMPTY_SLOT	Espacio Vacio
FORMAT_CHARACTER_SELECT_DATA_ENTRY_INFO	Nv-{0} {1} {2}
CHARACTER_SELECT_CHARACTER_DELETE_PROMPT_TEXT	Escribe el Nombre del personaje para confirmar
CHARACTER_SELECT_CHARACTER_DELETE_PROMPT_PLACEHOLDER_TEXT	Escribe el Nombre..
CHARACTER_SELECT_CHARACTER_DELETE_BUTTON_CONFIRM	Eliminar Personaje
